,FIPS,property crimes,violent crimes
947,20083,26,5
948,20085,250,38
949,20087,385,17
950,20089,0,0
951,20091,12137,1411
952,20093,91,13
953,20095,108,16
954,20097,38,5
955,20099,811,117
956,20101,22,3
957,20103,1956,438
958,20105,46,5
959,20107,125,25
960,20109,65,2
961,20111,1546,112
962,20113,511,40
963,20115,138,21
964,20117,55,10
965,20119,5,4
966,20121,523,53
967,20123,117,18
968,20125,1106,138
969,20127,72,7
970,20129,71,15
971,20131,115,17
972,20133,420,34
973,20135,19,2
974,20137,47,3
975,20139,196,28
976,20141,56,4
977,20143,118,14
978,20145,168,25
979,20147,14,6
980,20149,348,35
981,20151,216,23
982,20153,26,4
983,20155,2774,324
984,20157,55,2
985,20159,118,20
986,20161,1921,228
987,20163,12,3
988,20165,27,2
989,20167,121,26
990,20169,2649,202
991,20171,65,14
992,20173,22235,3296
993,20175,644,109
994,20177,9152,787
995,20179,20,1
996,20181,138,18
997,20183,24,1
998,20185,71,9
999,20187,24,1
1000,20189,36,1
1001,20191,666,57
1002,20193,152,29
1003,20195,34,6
1004,20197,99,13
1005,20199,5,0
1006,20201,11,6
1007,20203,22,10
1008,20205,212,19
1009,20207,50,10
1010,20209,6846,769
1011,21000,108228,12274
1012,21001,43,8
1013,21003,114,16
1014,21005,168,18
1015,21007,104,8
1016,21009,815,50
1017,21011,70,4
1018,21013,411,28
1019,21015,1029,182
1020,21017,311,36
1021,21019,1996,136
1022,21021,691,49
1023,21023,73,5
1024,21025,67,3
1025,21027,52,3
1026,21029,1448,89
1027,21031,54,4
1028,21033,244,34
1029,21035,1191,46
1030,21037,2454,186
1031,21039,0,0
1032,21041,118,7
1033,21043,420,15
1034,21045,138,11
1035,21047,2480,249
1036,21049,973,56
1037,21051,158,6
1038,21053,14,4
1039,21055,88,1
1040,21057,6,0
1041,21059,1728,133
1042,21061,48,3
1043,21063,0,0
1044,21065,324,3
1045,21067,10379,1802
1046,21069,97,13
1047,21071,314,12
1048,21073,8815,1315
1049,21075,223,14
1050,21077,47,3
1051,21079,206,4
1052,21081,196,5
1053,21083,465,55
1054,21085,294,17
1055,21087,2,0
1056,21089,369,34
1057,21091,19,1
1058,21093,1967,353
1059,21095,188,31
1060,21097,566,32
1061,21099,63,4
1062,21101,1437,80
1063,21103,45,5
1064,21105,5,0
1065,21107,611,55
1066,21109,65,3
1067,21111,32427,4614
1068,21113,1540,91
1069,21115,141,5
1070,21117,4983,601
1071,21119,77,0
1072,21121,434,18
1073,21123,62,15
1074,21125,908,36
1075,21127,90,8
1076,21129,20,1
1077,21131,0,0
1078,21133,166,5
1079,21135,90,14
1080,21137,138,5
1081,21139,117,5
1082,21141,589,60
1083,21143,79,5
1084,21145,1900,178
1085,21147,200,6
1086,21149,18,4
1087,21151,2801,150
1088,21153,26,2
1089,21155,343,31
1090,21157,557,28
1091,21159,91,2
1092,21161,771,45
1093,21163,257,8
1094,21165,2,0
1095,21167,261,20
1096,21169,64,3
1097,21171,44,4
1098,21173,940,42
1099,21175,39,3
1100,21177,112,12
1101,21179,679,54
1102,21181,32,1
1103,21183,149,14
1104,21185,676,36
1105,21187,62,2
1106,21189,21,0
1107,21191,166,3
1108,21193,239,24
1109,21195,479,24
1110,21197,88,5
1111,21199,1753,70
1112,21201,0,0
1113,21203,82,11
1114,21205,339,24
1115,21207,299,20
1116,21209,1118,47
1117,21211,739,72
1118,21213,469,43
1119,21215,75,7
