,FIPS,Normalized Median Income,Poverty Fraction
2342,42115,0.94528244552466,13.8
2343,42117,0.9055092188114497,16.0
2344,42119,1.0754345766569007,13.9
2345,42121,0.8558333652251667,17.5
2346,42123,0.9330552583527438,12.2
2347,42125,1.1157889434448218,10.9
2348,42127,1.070134579175538,11.2
2349,42129,1.0997959685887793,10.4
2350,42131,1.0224810930492485,12.8
2351,42133,1.3211173546416575,8.9
2352,44000,1.2376656399131802,12.0
2353,44001,1.5389054090402936,6.9
2354,44003,1.3567063728169495,8.3
2355,44005,1.4695637753257955,8.4
2356,44007,1.1025854409473914,14.8
2357,44009,1.5505979473434757,7.9
2358,45000,0.9897977752475107,17.1
2359,45001,0.7902342735918066,19.7
2360,45003,1.0192034630278795,18.6
2361,45005,0.5565462267490817,39.7
2362,45007,0.9623447181181704,16.8
2363,45009,0.6570602140710694,30.2
2364,45011,0.7101299256936637,25.0
2365,45013,1.2572384376294414,12.0
2366,45015,1.1531911186532118,15.2
2367,45017,0.9190614053537066,17.1
2368,45019,1.072668349901277,16.4
2369,45021,0.8323553062068486,19.2
2370,45023,0.7819820845309126,19.5
2371,45025,0.750065871627793,23.6
2372,45027,0.6936487931748642,24.4
2373,45029,0.8353307433893682,22.0
2374,45031,0.803763214531075,22.5
2375,45033,0.6660562624275933,29.4
2376,45035,1.219069157522433,13.3
2377,45037,0.9039052722052479,21.5
2378,45039,0.7599917441038543,21.0
2379,45041,0.9279412256952884,18.4
2380,45043,0.943143850049724,20.7
2381,45045,1.0673683524199142,15.3
2382,45047,0.9202004399001399,19.5
2383,45049,0.749740433185955,25.4
2384,45051,0.9568587558129,15.8
2385,45053,0.8173851378822973,25.3
2386,45055,1.0522819560804206,14.9
2387,45057,0.9364723619920435,19.8
2388,45059,0.8579952063030911,19.7
2389,45061,0.6518299533986718,31.7
2390,45063,1.21021258278384,10.6
2391,45065,0.8265439054597402,20.0
2392,45067,0.6610352121820916,27.4
2393,45069,0.6229589144870371,31.1
2394,45071,0.8662009041580082,18.9
2395,45073,0.926104823059202,19.2
2396,45075,0.7802851555127569,24.5
2397,45077,0.9381227998042223,17.5
2398,45079,1.0609990572010835,16.0
2399,45081,0.9488622683848787,17.8
2400,45083,0.9362863971681361,14.8
2401,45085,0.8627140637097431,19.0
2402,45087,0.7522509583087058,21.9
2403,45089,0.6192396180088876,33.1
2404,45091,1.1772503177462408,12.4
2405,46000,1.0471679234229652,14.2
2406,46003,0.9507451622269419,13.0
2407,46005,0.984404795354194,13.5
2408,46007,0.7470439432392966,37.8
2409,46009,0.9178526339983081,15.5
2410,46011,1.0863367644584763,14.7
2411,46013,1.1013301783860159,10.2
2412,46015,0.9324508726750445,14.6
2413,46017,0.43841207236186125,43.6
2414,46019,0.8836815976053104,14.2
2415,46021,0.9076943054923625,12.0
2416,46023,0.7702430550217535,24.3
2417,46025,0.9485600755460292,12.7
2418,46027,0.8931193124186145,23.1
2419,46029,1.0355451219287484,11.4
2420,46031,0.6142883045723513,39.0
2421,46033,1.0795490483858534,10.9
2422,46035,0.9633210334436846,13.1
2423,46037,0.8531601208814968,15.9
2424,46039,1.015321447328811,9.6
2425,46041,0.6928119514672806,31.2
2426,46043,0.9542087570722185,12.6
2427,46045,1.0806880829322867,12.2
2428,46047,0.801136461393382,18.6
2429,46049,1.013508290295713,13.0
2430,46051,0.9893096175847536,10.7
2431,46053,0.734096142374739,20.3
2432,46055,0.9402149040731814,13.5
2433,46057,1.079618785194819,10.9
2434,46059,0.9947025974780702,11.9
2435,46061,1.2407805507136302,8.1
2436,46063,0.9181083356311809,15.6
2437,46065,1.3073094664665277,11.4
2438,46067,0.9270346471787394,12.5
2439,46069,0.9454916559515558,13.7
2440,46071,0.7060851907736763,36.1
2441,46073,0.9248495604978266,16.0
2442,46075,0.9029289568797336,16.4
2443,46077,0.9676912068055101,11.2
2444,46079,1.0535372186417962,12.2
2445,46081,0.9583464744041598,15.0
2446,46083,1.6944649842388926,4.2
2447,46085,0.7977426033570707,23.8
2448,46087,1.0630214246610772,9.8
2449,46089,0.7425807874655174,18.1
2450,46091,0.9136219342544132,13.5
2451,46093,1.036010033988517,12.9
2452,46095,0.6382080300474496,38.2
2453,46097,0.8919337866662044,12.5
2454,46099,1.126086745568698,10.5
2455,46101,1.0935893925908675,9.7
2456,46103,1.0918924635727119,14.1
2457,46105,0.7846553288745824,17.4
2458,46107,1.0076503983426277,13.0
2459,46109,0.8535320505293118,20.6
2460,46111,0.9615311220135752,13.9
2461,46113,0.5822558636542895,51.6
2462,46115,1.0205981992071855,12.3
2463,46117,1.1898261889629833,9.7
2464,46119,1.1347573554833839,10.9
2465,46121,0.5751427091398288,45.3
2466,46123,0.9039517634112246,20.4
2467,46125,1.109954297094725,9.2
2468,46127,1.36649277167508,6.2
2469,46129,0.8532066120874737,17.2
2470,46135,1.0699486143516304,12.3
2471,46137,0.5830927053618731,62.0
2472,47000,0.9696903286625155,17.2
2473,47001,1.0145543424301926,17.3
2474,47003,0.9075548318744319,18.2
2475,47005,0.7419299105818412,20.0
2476,47007,0.7544825361955955,25.5
2477,47009,1.0564429190153504,11.7
2478,47011,0.9198052646493365,16.4
2479,47013,0.723589129823967,26.2
2480,47015,0.8854715090354198,15.5
2481,47017,0.8077149670391088,19.6
2482,47019,0.6939742316167022,23.6
2483,47021,1.195800308931011,11.2
2484,47023,0.9246403500709307,18.2
2485,47025,0.7222873760566146,21.4
2486,47027,0.640369871125374,23.9
2487,47029,0.6719373999836671,23.2
2488,47031,0.9270811383847163,16.6
2489,47033,0.7634553389491309,19.7
2490,47035,0.8449079318206029,18.4
2491,47037,1.0750858926120743,17.1
2492,47039,0.7618978835489059,21.1
2493,47041,0.8074360198032476,19.4
2494,47043,1.005628030882634,15.4
2495,47045,0.8451171422474988,20.8
2496,47047,1.2465222146517734,12.2
2497,47049,0.6517602165897065,27.1
2498,47051,0.9398662200283548,15.1
2499,47053,0.7782860336557517,17.3
2500,47055,0.8844022112979518,18.5
2501,47057,0.6769584502291688,20.3
2502,47059,0.7955807622791463,18.5
2503,47061,0.6363018906023981,27.6
2504,47063,0.874546075630856,15.4
2505,47065,1.0045354875421777,18.1
2506,47067,0.555593157026556,32.4
2507,47069,0.7841671712118253,25.1
2508,47071,0.7490198194933135,22.6
2509,47073,0.8486737195047291,18.9
2510,47075,0.7465325399735511,21.4
2511,47077,0.8774285304014218,16.5
2512,47079,0.7615259539010909,20.0
2513,47081,0.8953276447025158,18.5
2514,47083,0.7631066549043044,21.2
2515,47085,0.9835214624406335,14.3
2516,47087,0.7394193854590904,22.0
2517,47089,0.8696412534002964,20.2
2518,47091,0.6348839088201036,31.9
2519,47093,1.0548854636151253,14.7
