,FIPS,Age 18 and over,Voting Age Fraction
1713,31059,4486,0.7616298811544991
1714,31061,2529,0.7841860465116279
1715,31063,2162,0.7844702467343977
1716,31065,3803,0.7668884855817705
1717,31067,17186,0.7702926807404419
1718,31069,1675,0.8142926592124453
1719,31071,1618,0.7896534895070766
1720,31073,1586,0.7759295499021527
1721,31075,499,0.8127035830618893
1722,31077,1941,0.764775413711584
1723,31079,42630,0.7273875134369615
1724,31081,6785,0.7436431389741341
1725,31083,2686,0.7846917908267601
1726,31085,744,0.7693898655635988
1727,31087,2287,0.7864511691884457
1728,31089,7986,0.765309056061332
1729,31091,579,0.7866847826086957
1730,31093,4731,0.7540643927319095
1731,31095,5939,0.786935206042136
1732,31097,4230,0.8108108108108109
1733,31099,4917,0.7577438742487286
1734,31101,6563,0.7842973231357553
1735,31103,645,0.7827669902912622
1736,31105,2964,0.7757131640931694
1737,31107,6605,0.7591081484886795
1738,31109,219506,0.7690981650765398
1739,31111,27203,0.7496417548500882
1740,31113,571,0.7483617300131061
1741,31115,491,0.7768987341772152
1742,31117,388,0.7198515769944341
1743,31119,26149,0.7497706158963184
1744,31121,5900,0.7520713830465264
1745,31123,3832,0.7600158667195557
1746,31125,2859,0.7654618473895582
1747,31127,5682,0.7839403973509934
1748,31129,3544,0.7875555555555556
1749,31131,11950,0.7592121982210928
1750,31133,2162,0.7796610169491526
1751,31135,2235,0.7525252525252525
1752,31137,6930,0.7542446669569003
1753,31139,5381,0.7405725295898706
1754,31141,23723,0.7358935384806279
1755,31143,4088,0.7561968183499815
1756,31145,8517,0.7704206241519674
1757,31147,6566,0.7851249551596318
1758,31149,1217,0.7975098296199213
1759,31151,10729,0.7555633802816901
1760,31153,113118,0.712150591790481
1761,31155,15406,0.741385948026949
1762,31157,27818,0.752447930754666
1763,31159,12788,0.7634626865671642
1764,31161,4176,0.7635765222161273
1765,31163,2445,0.7756979695431472
1766,31165,1018,0.7765064836003052
1767,31167,4445,0.725240659161364
1768,31169,4111,0.7863427697016068
1769,31171,499,0.7712519319938176
1770,31173,4473,0.6445244956772335
1771,31175,3319,0.7791079812206573
1772,31177,15142,0.7483443708609272
